TRAVELER_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,CONSUME_HIS_SEQ,CONSUME_HIS_SNO,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,PAYMENT_DT_HOUR,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION
h001195,2306220006,1,0,0,1,4,8979101740.0,동문남해수산,제주특별자치도 제주시 동문로2길 10,제주특별자치도 제주시 일도일동 1480-3,4847600.0,5011010100.0,2023-06,1,40000.0,,,19,충청남도,제주
h000051,2305280009,1,0,0,1,1,2018121515.0,스타벅스,제주특별자치도 서귀포시 성산읍 일출로 80,제주특별자치도 서귀포시 성산읍 고성리 238,3350244.0,5013025924.0,2023-05,3,6900.0,V)핑크 D리프레셔,,20,대전광역시,제주
h000051,2305290005,1,0,0,1,1,4830402439.0,오늘의 감정 오감,제주특별자치도 제주시 구좌읍 세화11길 12,제주특별자치도 제주시 구좌읍 세화리 22,4848006.0,5011025628.0,2023-05,1,6000.0,당근쥬스,,13,대전광역시,제주
h000053,2305260001,2,0,0,1,1,8968200047.0,간세라운지,제주특별자치도 제주시 관덕로8길 7-9,제주특별자치도 제주시 일도일동 1448,4847168.0,5011010100.0,2023-05,1,10000.0,규스마그간세;간세배지3종,,08,경기도,제주
h000069,2305170012,1,0,0,2,2,6169257676.0,탐라수산,제주특별자치도 서귀포시 중정로61번길 8,제주특별자치도 서귀포시 서귀동 275-9,4850836.0,5013010100.0,2023-05,1,8000.0,,,20,서울특별시,제주
h000093,2305200005,1,0,0,1,3,2993200498.0,오누이,제주특별자치도 제주시 구좌읍 해맞이해안로 972,제주특별자치도 제주시 구좌읍 한동리 1388-1,3349242.0,5011025630.0,2023-05,1,28000.0,전복돌솥밥;광어미역국,,15,경기도,제주
h000100,2305160006,2,3,3,1,1,7442100857.0,GS25,제주특별자치도 제주시 중앙로13길 16-2,제주특별자치도 제주시 이도일동 1330-24,4848761.0,5011010300.0,2023-05,1,5500.0,,,20,광주광역시,제주
h000103,2306060001,2,0,0,1,2,3448502017.0,주식회사 샵제주,제주특별자치도 제주시 애월읍 애월해안로 867,제주특별자치도 제주시 애월읍 하귀2리 2740-8,3349131.0,5011025341.0,2023-06,1,12000.0,탄생석팔찌,,11,대전광역시,제주
h000108,2306100001,1,0,0,1,1,6133560596.0,제주시 새우리,제주특별자치도 제주시 무근성7길 24,제주특별자치도 제주시 삼도이동 1053-22,4847674.0,5011010600.0,2023-06,1,16000.0,딱새우김밥;새우리해물라면,,09,경기도,제주
h000172,2305260001,1,0,0,1,2,5401500273.0,제주와함께라면,제주특별자치도 제주시 애월읍 애월해안로 274,제주특별자치도 제주시 애월읍 고내리 473,3349131.0,5011025333.0,2023-05,1,20000.0,흑돼지라면,,12,경상남도,제주
h000172,2305270002,1,0,0,1,2,5320702353.0,휴즐리,제주특별자치도 제주시 흥운길 83,제주특별자치도 제주시 용담이동 434,4849131.0,5011010900.0,2023-05,1,20000.0,젤라봉;IM 현무,,12,경상남도,제주
h000181,2306080005,1,1,1,1,4,8123800328.0,바위소리,제주특별자치도 제주시 우도면 우도해안길 1112,제주특별자치도 제주시 우도면 연평리 312-1,4848460.0,5011033021.0,2023-06,1,10000.0,,,15,대구광역시,제주
